"CTRL_0"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL_5"	"CTRL_6"	"CTRL_7"	"CTRL_8"	"LUTS_0"	"LUTS_1"	"LUTS_2"	"LUTS_3"	"LUTS_4"	"LUTS_5"	"LUTS_6"	"LUTS_7"	"LUTS_8"
"ACIN1"	1462.25	1890.47	8815.94	1585.35	2001.69	4624.25	4464.81	1800.78	2243.19	2169.23	1898.32	3091.26	3902.22	6565.98	2752.31	1882.5	2006.75	5268.92
"ACKR1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACKR2"	1.49591	86.9505	65.583	3.38028	2.8989	7.17355	3.89515	26.4883	33.238	6.4508	10.7828	8.62276	22.4552	36.4372	30.586	49.4477	61.9762	1399.93
"ACKR3"	110.697	143.048	0	265.352	105.327	0	0	13.0339	11.0793	167.134	122.924	0	703.598	464.574	99.8292	969.454	217.985	0
"ACKR4"	0	0	0	0	31.8878	0	0	0	0	0	12.4003	0	117.266	0	21.8775	0	49.1535	0
"ACLY"	1498.9	1300.05	794.945	2029.01	1454.28	1691.16	2799.64	956.1	895.209	1293.68	523.507	592.096	1289.93	0	1487.03	1690.28	1030.09	1266.51
"ACMSD"	0	0	0	0	0	0	0	0	11.8179	0	0	0	0	0	0	0	26.7139	0
"ACO1"	264.776	1.40243	794.945	791.83	245.44	11.657	1675.89	377.983	209.03	731.286	6.46971	636.647	0	0	391.67	38.3046	287.441	0
"ACO2"	548.999	319.052	3603.09	430.14	567.7	712.871	784.872	517.572	729.02	829.807	462.584	2026.35	44.9105	0	696.043	330.812	662.504	0
"ACOT1"	115.933	4.20728	0	54.9295	37.6856	38.5578	0	96.7032	84.2029	47.5013	0	252.934	62.3757	267.813	51.8262	86.3594	26.7139	0
"ACOT11"	248.321	17.5303	0	0	140.596	0	460.601	26.4883	53.1808	194.11	1.61743	0	0	0	129.778	0	48.085	575.688
"ACOT12"	0.747955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACOT13"	1100.24	617.068	0	577.182	232.395	779.227	569.665	294.735	631.522	26.9761	738.086	61.7964	381.739	0	333.897	231.917	536.415	0
